Step,Pitch,Yaw,PitchRate,YawRate,PitchGimbal,YawGimbal
0,-4.834136,-4.404012,0.0036300244,0.004472846,0.36300245,0.44728464
1,-4.826875,-4.395069,0.0072608767,0.008943092,0.3630852,0.44702458
2,-4.815982,-4.3816605,0.010893321,0.013408825,0.36324438,0.44657335
3,-4.8014536,-4.3637924,0.014528118,0.017868115,0.3634798,0.44592905
4,-4.7832875,-4.3414736,0.018166028,0.022319004,0.363791,0.44508904
5,-4.76148,-4.314714,0.021807803,0.026759503,0.3641775,0.4440499
6,-4.736026,-4.2835264,0.025454188,0.031187575,0.36463857,0.4428072
7,-4.7069197,-4.2479253,0.02910592,0.03560113,0.36517328,0.44135576
8,-4.6741557,-4.207927,0.032763723,0.039998025,0.3657803,0.4396894
9,-4.6377273,-4.1635513,0.036428306,0.044376034,0.36645815,0.43780112
10,-4.5976267,-4.1148186,0.040100355,0.048732862,0.36720482,0.43568268
11,-4.5538464,-4.0617523,0.04378053,0.053066112,0.36801785,0.43332508
12,-4.5063767,-4.004379,0.047469474,0.057373293,0.36889416,0.43071806
13,-4.455209,-3.942727,0.051167775,0.061651796,0.36983007,0.42785048
14,-4.400333,-3.8768282,0.054875985,0.065898895,0.37082088,0.4247098
15,-4.341738,-3.8067164,0.058594596,0.07011172,0.37186098,0.4212823
16,-4.279414,-3.7324293,0.062324032,0.07428725,0.37294352,0.41755295
17,-4.2133493,-3.654007,0.06606463,0.07842231,0.3740603,0.41350543
18,-4.1435328,-3.5714934,0.06981665,0.082513526,0.3752013,0.40912175
19,-4.0699525,-3.484936,0.0735802,0.08655735,0.3763547,0.4043825
20,-3.9925973,-3.394386,0.07735526,0.09055001,0.37750614,0.39926654
21,-3.9114556,-3.2998986,0.08114164,0.09448752,0.37863868,0.39375085
22,-3.8265166,-3.201533,0.084938966,0.09836562,0.37973225,0.38781056
23,-3.73777,-3.0993533,0.08874659,0.1021798,0.38076288,0.38141847
24,-3.6452065,-2.993428,0.09256362,0.105925255,0.3817026,0.37454507
25,-3.5488176,-2.8838313,0.0963888,0.10959683,0.3825183,0.36715811
26,-3.4485972,-2.7706423,0.10022051,0.11318906,0.38317105,0.35922235
27,-3.3445406,-2.6539462,0.104056664,0.116696045,0.3836156,0.350699
28,-3.236646,-2.5338347,0.10789465,0.120111495,0.38379908,0.3415454
29,-3.1249146,-2.410406,0.111731246,0.123428635,0.38365984,0.3317141
30,-3.0093522,-2.283766,0.11556251,0.12664016,0.38312653,0.3211522
31,-2.8899686,-2.154028,0.11938368,0.12973817,0.38211665,0.3098007
32,-2.7667797,-2.021314,0.12318903,0.1327141,0.38053507,0.297593
33,-2.639808,-1.8857553,0.12697175,0.13555863,0.37827253,0.2844542
34,-2.5090842,-1.7474936,0.13072379,0.13826163,0.3752041,0.27029958
35,-2.3746486,-1.6066817,0.13443567,0.14081196,0.37118748,0.25503385
36,-2.2365522,-1.4634843,0.13809629,0.14319746,0.3660619,0.23855026
37,-2.0948596,-1.3180795,0.14169276,0.14540477,0.35964692,0.22073029
38,-1.9496495,-1.1706603,0.14521019,0.14741921,0.35174274,0.2014449
39,-1.801018,-1.0214355,0.14863151,0.14922479,0.34213144,0.18055716
40,-1.6490806,-0.87063146,0.15193732,0.15080407,0.33058125,0.15792814
41,-1.4939748,-0.7184931,0.15510586,0.15213834,0.3168544,0.13342625
42,-1.3358617,-0.5652853,0.15811306,0.15320776,0.30072105,0.1069426
43,-1.1749288,-0.41129345,0.16093287,0.1539919,0.28198016,0.07841287
44,-1.011391,-0.2568231,0.16353777,0.15447035,0.2604895,0.047845595
45,-0.84549123,-0.10219918,0.1658998,0.15462391,0.23620325,0.015355917
46,-0.6774993,0.052236706,0.16799194,0.15443589,0.20921321,-0.018801784
47,-0.5077095,0.20613047,0.16978978,0.15389377,0.17978355,-0.05421213
48,-0.33643606,0.35912123,0.17127344,0.15299076,0.14836626,-0.0903008
49,-0.16400678,0.5108483,0.17242928,0.15172705,0.11558397,-0.12637062
50,0.009244248,0.66095865,0.17325103,0.15011033,0.08217588,-0.16167156
51,0.18298443,0.8091141,0.17374018,0.14815544,0.048914853,-0.19549012
52,0.35688978,0.9549972,0.17390536,0.1458831,0.016517729,-0.22723307
53,0.53065085,1.0983155,0.17376108,0.14331827,-0.0144275315,-0.25648278
54,0.7039769,1.2388036,0.17332608,0.14048813,-0.043500964,-0.2830134
55,0.8765985,1.376224,0.17262153,0.13742042,-0.070454076,-0.30677187
56,1.0482681,1.5103661,0.17166966,0.13414203,-0.09518674,-0.3278384
57,1.2187606,1.6410443,0.17049254,0.1306782,-0.11771163,-0.34638146
58,1.387872,1.7680963,0.16911137,0.12705202,-0.13811783,-0.3626176
59,1.555418,1.8913805,0.16754597,0.12328421,-0.15654014,-0.37678087
60,1.7212327,2.0107737,0.16581461,0.119393185,-0.17313646,-0.3891025
61,1.8851665,2.126169,0.16393389,0.115395196,-0.18807256,-0.39979896
62,2.0470853,2.2374735,0.16191876,0.11130454,-0.20151295,-0.4090657
63,2.206868,2.3446074,0.1597826,0.10713378,-0.21361531,-0.41707513
64,2.3644052,2.4475014,0.15753733,0.102894016,-0.2245277,-0.42397702
65,2.5195985,2.5460963,0.15519345,0.098595016,-0.2343873,-0.42990005
66,2.6723588,2.6403418,0.15276025,0.09424548,-0.24332003,-0.43495363
67,2.8226047,2.730195,0.15024585,0.08985317,-0.25144064,-0.43923083
68,2.970262,2.8156202,0.14765732,0.085425064,-0.25885314,-0.44281036
69,3.1152627,2.8965876,0.1450008,0.08096748,-0.26565126,-0.44575858
70,3.2575443,2.9730737,0.1422816,0.07648616,-0.2719193,-0.44813168
71,3.3970485,3.0450602,0.13950428,0.07198639,-0.27773273,-0.4499771
72,3.5337212,3.112533,0.13667269,0.06747304,-0.2831589,-0.45133498
73,3.6675112,3.1754837,0.1337901,0.06295065,-0.2882578,-0.45223933
74,3.7983706,3.2339072,0.13085927,0.05842346,-0.29308283,-0.45271885
75,3.926253,3.2878027,0.12788245,0.053895477,-0.29768124,-0.45279816
76,4.0511146,3.3371732,0.1248615,0.049370497,-0.30209494,-0.45249802
77,4.1729126,3.3820252,0.12179789,0.044852138,-0.30636096,-0.45183608
78,4.2916055,3.422369,0.11869277,0.040343862,-0.3105119,-0.45082748
79,4.4071527,3.458218,0.11554701,0.03584901,-0.3145765,-0.44948527
80,4.519514,3.489589,0.11236121,0.031370804,-0.31858,-0.44782043
81,4.6286497,3.5165014,0.10913576,0.026912376,-0.3225444,-0.44584268
82,4.7345204,3.538978,0.10587087,0.022476774,-0.32648876,-0.4435603
83,4.837087,3.557045,0.10256658,0.018066969,-0.33042967,-0.4409806
84,4.93631,3.570731,0.099222764,0.013685866,-0.3343812,-0.43811026
85,5.032149,3.5800672,0.09583921,0.009336313,-0.33835515,-0.4349553
86,5.1245646,3.5850883,0.09241559,0.005021101,-0.34236133,-0.43152124
87,5.213516,3.5858312,0.08895152,0.0007429663,-0.34640753,-0.42781347
88,5.2989626,3.5823357,0.08544652,-0.0034954073,-0.35049954,-0.42383736
89,5.3808627,3.5746443,0.081900105,-0.007691391,-0.3546415,-0.41959834
90,5.4591746,3.5628018,0.07831175,-0.011842411,-0.3588357,-0.415102
91,5.5338554,3.546856,0.074680924,-0.015945954,-0.36308268,-0.41035432
92,5.6048627,3.5268564,0.07100711,-0.019999571,-0.36738122,-0.40536165
93,5.6721525,3.5028555,0.06728982,-0.024000881,-0.3717286,-0.400131
94,5.735681,3.4749079,0.06352862,-0.027947579,-0.37612036,-0.3946698
95,5.795404,3.4430704,0.059723116,-0.03183744,-0.38055044,-0.38898626
96,5.851277,3.407402,0.055873003,-0.035668332,-0.38501126,-0.38308913
97,5.903255,3.3679638,0.051978067,-0.03943821,-0.38949382,-0.37698773
98,5.951293,3.3248186,0.04803819,-0.04314513,-0.39398783,-0.370692
99,5.9953465,3.2780313,0.044053372,-0.046787255,-0.3984818,-0.36421227
100,6.0353703,3.2276685,0.04002374,-0.050362848,-0.40296304,-0.3575592
101,6.07132,3.1737983,0.035949558,-0.053870283,-0.4074183,-0.3507434
102,6.1031513,3.1164904,0.031831224,-0.05730804,-0.41183352,-0.34377566
103,6.1308208,3.0558157,0.027669279,-0.0606747,-0.41619444,-0.3366662
104,6.154285,2.9918468,0.023464415,-0.06396895,-0.42048648,-0.32942468
105,6.1735024,2.9246573,0.019217463,-0.06718955,-0.4246952,-0.32206014
106,6.1884317,2.854322,0.014929397,-0.07033536,-0.42880663,-0.31458038
107,6.1990333,2.7809167,0.010601325,-0.07340528,-0.43280715,-0.30699202
108,6.205268,2.7045183,0.0062344857,-0.07639828,-0.43668395,-0.29930016
109,6.207098,2.625205,0.0018302356,-0.07931337,-0.44042504,-0.2915082
110,6.2044883,2.5430555,-0.0026099565,-0.08214955,-0.44401923,-0.283618
111,6.197404,2.4581497,-0.007084522,-0.08490584,-0.44745654,-0.27562934
112,6.185812,2.3705685,-0.011591798,-0.08758124,-0.45072764,-0.26754025
113,6.169682,2.2803938,-0.016130041,-0.090174705,-0.45382428,-0.25934684
114,6.1489844,2.1877086,-0.02069743,-0.09268513,-0.4567389,-0.25104323
115,6.1236925,2.0925972,-0.025292072,-0.095111355,-0.45946434,-0.24262193
116,6.0937805,1.9951452,-0.029912014,-0.09745209,-0.46199423,-0.23407356
117,6.059225,1.8954393,-0.034555234,-0.09970596,-0.46432203,-0.2253871
118,6.020005,1.7935678,-0.039219648,-0.10187145,-0.46644145,-0.21654995
119,5.9761024,1.6896209,-0.043903105,-0.10394693,-0.46834564,-0.20754795
120,5.927499,1.5836903,-0.04860338,-0.10593059,-0.47002745,-0.19836552
121,5.874181,1.4758699,-0.053318165,-0.10782045,-0.47147864,-0.18898591
122,5.816136,1.3662555,-0.058045063,-0.10961436,-0.47268993,-0.17939092
123,5.753354,1.2549455,-0.06278157,-0.11130997,-0.47365057,-0.16956122
124,5.685829,1.1420407,-0.06752505,-0.11290473,-0.47434825,-0.15947624
125,5.6135564,1.0276449,-0.07227273,-0.11439587,-0.47476834,-0.14911431
126,5.536535,0.91186446,-0.07702167,-0.1157804,-0.47489393,-0.1384527
127,5.4547663,0.7948094,-0.08176873,-0.11705507,-0.47470552,-0.12746745
128,5.3682556,0.676593,-0.08651053,-0.11821641,-0.47418052,-0.116133474
129,5.2770123,0.55733234,-0.09124346,-0.119260654,-0.47329277,-0.10442455
130,5.181049,0.43714854,-0.09596359,-0.12018379,-0.47201258,-0.09231322
131,5.0803823,0.31616706,-0.10066665,-0.1209815,-0.4703061,-0.079770856
132,4.975034,0.19451788,-0.105348,-0.121649176,-0.46813494,-0.06676765
133,4.8650317,0.07233598,-0.11000256,-0.1221819,-0.4654562,-0.053272597
134,4.7504067,-0.05023846,-0.11462478,-0.12257444,-0.46222192,-0.0392538
135,4.631198,-0.17305969,-0.119208574,-0.12282123,-0.45837915,-0.024678754
136,4.5074506,-0.29597604,-0.123747274,-0.12291637,-0.45387012,-0.009514743
137,4.379217,-0.4188297,-0.1282336,-0.122853674,-0.44863278,0.006270027
138,4.2465577,-0.54145634,-0.13265961,-0.122626625,-0.44260153,0.022705248
139,4.109541,-0.6636848,-0.1370167,-0.12222846,-0.43570918,0.03981649
140,3.9682453,-0.78533703,-0.14129558,-0.12165224,-0.42788902,0.05762235
141,3.822759,-0.90622795,-0.14548637,-0.12089093,-0.4190787,0.07613093
142,3.6731803,-1.0261655,-0.14957862,-0.11993758,-0.40922424,0.09533525
143,3.519619,-1.144951,-0.15356146,-0.11878549,-0.39828485,0.11520826
144,3.3621953,-1.2623795,-0.15742384,-0.11742851,-0.3862375,0.13569796
145,3.2010405,-1.3782408,-0.16115464,-0.115861274,-0.37307996,0.15672366
146,3.0362976,-1.4923203,-0.16474295,-0.11407953,-0.35883057,0.17817445
147,2.8681195,-1.6044008,-0.16817819,-0.11208042,-0.34352437,0.19991124
148,2.6966693,-1.7142634,-0.17145024,-0.10986269,-0.3272054,0.22177224
149,2.52212,-1.8216903,-0.17454942,-0.10742688,-0.30991685,0.24358116
150,2.3446536,-1.9264656,-0.17746633,-0.10477532,-0.29169226,0.26515633
151,2.1644619,-2.0283778,-0.18019184,-0.101912126,-0.27255067,0.28631902
152,1.981745,-2.1272209,-0.18271683,-0.098843135,-0.25249815,0.30689907
153,1.7967129,-2.2227967,-0.18503219,-0.09557576,-0.23153587,0.32673797
154,1.609584,-2.3149157,-0.1871289,-0.09211886,-0.20967187,0.34568983
155,1.4205858,-2.4033983,-0.18899824,-0.08848265,-0.18693416,0.3636213
156,1.2299538,-2.4880767,-0.19063205,-0.08467853,-0.16338143,0.38041204
157,1.0379306,-2.5687957,-0.19202313,-0.08071897,-0.13910872,0.39595607
158,0.844765,-2.645413,-0.1931656,-0.07661733,-0.114247575,0.41016436
159,0.6507098,-2.7178006,-0.19405521,-0.07238766,-0.08896124,0.42296714
160,0.45602024,-2.785845,-0.19468957,-0.0680445,-0.06343569,0.43431586
161,0.260952,-2.8494477,-0.19506826,-0.063602656,-0.037867863,0.44418433
162,0.06575921,-2.9085248,-0.19519278,-0.059076972,-0.0124533735,0.45256856
163,-0.12930731,-2.963007,-0.19506653,-0.054482117,0.012625616,0.45948547
164,-0.32400173,-3.0128393,-0.19469443,-0.04983241,0.03721017,0.4649708
165,-0.51808447,-3.057981,-0.19408272,-0.045141645,0.061170842,0.46907645
166,-0.7113231,-3.098404,-0.19323862,-0.040422972,0.084410116,0.47186732
167,-0.9034931,-3.1340928,-0.19217001,-0.03568879,0.10686122,0.473418
168,-1.0943782,-3.1650436,-0.19088516,-0.0309507,0.12848452,0.47380906
169,-1.2837708,-3.191263,-0.18939252,-0.026219461,0.14926283,0.47312403
170,-1.4714713,-3.212768,-0.18770055,-0.021505006,0.1691967,0.47144544
171,-1.6572889,-3.2295845,-0.18581755,-0.016816478,0.18830052,0.46885267
172,-1.8410405,-3.2417467,-0.18375155,-0.0121622905,0.20659952,0.46541876
173,-2.0225508,-3.249297,-0.18151028,-0.0075502014,0.22412752,0.46120894
174,-2.2016518,-3.2522843,-0.17910103,-0.0029874076,0.24092543,0.4562794
175,-2.3781824,-3.2507648,-0.17653064,0.0015193601,0.25703976,0.4506768
176,-2.551988,-3.244801,-0.17380543,0.0059637446,0.2725211,0.44443846
177,-2.722919,-3.2344613,-0.1709312,0.010339679,0.28742266,0.43759346
178,-2.8908322,-3.21982,-0.16791323,0.01464132,0.30179822,0.4301641
179,-3.0555885,-3.200957,-0.16475622,0.018862996,0.3157003,0.4221676
180,-3.217053,-3.1779578,-0.16146444,0.022999182,0.32917833,0.4136185
181,-3.3750947,-3.1509132,-0.15804167,0.02704449,0.3422767,0.40453085
182,-3.529586,-3.1199195,-0.15449134,0.030993696,0.35503325,0.39492053
183,-3.6804028,-3.0850778,-0.15081656,0.03484177,0.36747795,0.3848074
184,-3.827423,-3.0464938,-0.14702024,0.038583945,0.379632,0.37421754
185,-3.9705284,-3.004278,-0.14310516,0.042215787,0.39150718,0.3631843
186,-4.1096025,-2.9585447,-0.1390741,0.045733284,0.40310603,0.3517496
187,-4.244532,-2.909412,-0.13492988,0.049132925,0.41442162,0.33996397
188,-4.3752074,-2.857,-0.1306755,0.052411787,0.42543885,0.32788625
189,-4.5015216,-2.8014326,-0.12631413,0.055567607,0.43613553,0.31558192
190,-4.6233706,-2.7428339,-0.12184929,0.05859882,0.44648415,0.30312145
191,-4.7406554,-2.6813293,-0.11728475,0.061504595,0.45645368,0.29057735
192,-4.85328,-2.6170444,-0.11262463,0.06428481,0.46601248,0.27802128
193,-4.9611535,-2.5501044,-0.10787333,0.06694002,0.47512996,0.26552096
194,-5.064189,-2.480633,-0.10303554,0.0694714,0.48377883,0.25313762
195,-5.1623054,-2.4087524,-0.09811617,0.07188064,0.49193704,0.24092384
196,-5.2554255,-2.3345826,-0.09312028,0.07416986,0.49958882,0.22892202
197,-5.3434787,-2.2582412,-0.088053025,0.0763415,0.50672495,0.21716401
198,-5.4263983,-2.179843,-0.08291959,0.07839821,0.5133434,0.20567097
199,-5.504123,-2.0995002,-0.077725105,0.080342755,0.5194482,0.19445434
